"Pasta","Problema","Detalhe"
"D:\FILE_AINTAR\Ambiente\APA- TRH","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\APA- TRH\2023","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\APA- TRH\2024","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\APA- TRH\2025","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\APA- TRH\2026","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\AUTORIZAÇÕES DESCARGA INDUSTRIAL","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\AUTORIZAÇÕES DESCARGA INDUSTRIAL\2025","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\AUTORIZAÇÕES DESCARGA INDUSTRIAL\2026","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\AUTORIZAÇÕES DESCARGA INDUSTRIAL\PARECER TÉCNICO","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\CONTROLO ANALÍTICO","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\CONTROLO ANALÍTICO\CONTROLO ANALITICO 2022","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\CONTROLO ANALÍTICO\CONTROLO ANALITICO 2023","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\CONTROLO ANALÍTICO\CONTROLO ANALITICO 2024","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\CONTROLO ANALÍTICO\CONTROLO ANALITICO 2025","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\CONTROLO ANALÍTICO\CONTROLO ANALITICO 2026","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\CONTROLO ANALÍTICO\Procedimento Controlo analítico","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\CONTROLO ANALÍTICO\RELATÓRIOS INCUMPRIMENTOS BOLETINS ANALÍTICOS","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\CONTROLO DE PRAGAS","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\CONTROLO DE PRAGAS\byebye pragas","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\DADOS AINTAR","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\dados empreitadas","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Dados populacionais Etares","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\DARU 2022-2023","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\DARU 2022-2023\arquivo mapas enviados municipios","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\DARU 2022-2023\Dados_Santa_Comba_Dao","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\DARU 2022-2023\Dados_Tondela","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\DARU 2022-2023\Dados_Tábua","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\DARU 2022-2023\DARU 2024","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\DARU 2022-2023\DARU 2025","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
